Buddy,John Doe,Vaccination,50,Cash,2025-04-20
Mittens,Jane Smith,Check-up,30,Card,2025-04-18
Tweety,Tom Brown,Grooming,40,UPI,2025-04-19
Bella,Linda Johnson,Surgery,200,Card,2025-04-17
Rocky,Emily White,Dental Cleaning,75,Cash,2025-04-16
Shadow,Robert Black,X-ray,90,UPI,2025-04-15
Luna,Nancy Green,Check-up,30,Cash,2025-04-14
Chirpy,George King,Vaccination,50,Card,2025-04-13
Fluffy,Karen Miller,Grooming,40,UPI,2025-04-12
Max,Kevin Brown,Blood Test,60,Cash,2025-04-11
Coco,Sandra Adams,Dental Cleaning,75,Card,2025-04-10
Daisy,Brian Wilson,Check-up,30,UPI,2025-04-09
Pepper,Emma Scott,Grooming,40,Cash,2025-04-08
Thumper,Deborah Hill,Surgery,220,Card,2025-04-07
Whiskers,Michael Lee,Vaccination,50,UPI,2025-04-06
